Сценарий,Навык,Роль,Вес,scripts.id,skills.id,roles.id
Внедрение и развитие технологии информационного моделирования,Определение целей внедрения технологии,BIM-менеджер,3,SC.0,SK.0,R.0
Внедрение и развитие технологии информационного моделирования,Определение сценариев применения технологии в компании,BIM-менеджер,3,SC.0,SK.1,R.0
Внедрение и развитие технологии информационного моделирования,Стратегическое планирование внедрения технологии,BIM-менеджер,3,SC.0,SK.2,R.0
Внедрение и развитие технологии информационного моделирования,Разработка организационных изменений, связанных с внедрением технологии,BIM-менеджер,3,SC.0,SK.3,R.0
Внедрение и развитие технологии информационного моделирования,Разработка и корректирование бизнес-процессов компании,BIM-менеджер,3,SC.0,SK.4,R.0
Внедрение и развитие технологии информационного моделирования,Разработка концепции BIM-инфраструктуры компании,BIM-менеджер,3,SC.0,SK.5,R.0
Внедрение и развитие технологии информационного моделирования,Формирование бюджета внедрения технологии,BIM-менеджер,3,SC.0,SK.6,R.0
Внедрение и развитие технологии информационного моделирования,Разработка метрик и оценка зрелости технологии в компании,BIM-менеджер,3,SC.0,SK.7,R.0
Внедрение и развитие технологии информационного моделирования,Управление развитием BIM-компетенций персонала,BIM-менеджер,3,SC.0,SK.8,R.0
Внедрение и развитие технологии информационного моделирования,Управление договорами, связанными с развитием технологии,BIM-менеджер,3,SC.0,SK.9,R.0
Внедрение и развитие технологии информационного моделирования,Управление качеством результатов информационного моделирования,BIM-менеджер,3,SC.0,SK.10,R.0
Внедрение и развитие технологии информационного моделирования,Стандартизация процессов и результатов информационного моделирования,BIM-менеджер,3,SC.0,SK.11,R.0
Внедрение и развитие технологии информационного моделирования,Управление библиотеками компонентов,BIM-менеджер,3,SC.0,SK.12,R.0
Внедрение и развитие технологии информационного моделирования,Управление базой скриптов и плагинов,BIM-менеджер,3,SC.0,SK.13,R.0
Внедрение и развитие технологии информационного моделирования,Управление развитием корпоративных BIM-шаблонов,BIM-менеджер,3,SC.0,SK.14,R.0
Внедрение и развитие технологии информационного моделирования,Разработка методических материалов,BIM-менеджер,3,SC.0,SK.15,R.0
Внедрение и развитие технологии информационного моделирования,Устранение проблем с программным обеспечением и поддержка сотрудников в решении технических проблем,BIM-менеджер,1,SC.0,SK.16,R.0
Внедрение и развитие технологии информационного моделирования,Устранение проблем с программным обеспечением и поддержка сотрудников в решении технических проблем,BIM-координатор,3,SC.0,SK.16,R.1
Внедрение и развитие технологии информационного моделирования,Устранение проблем с программным обеспечением и поддержка сотрудников в решении технических проблем,IT-специалист,3,SC.0,SK.16,R.2
Внедрение и развитие технологии информационного моделирования,Разработка классификаторов элементов,Проектировщик,3,SC.0,SK.17,R.3
Внедрение и развитие технологии информационного моделирования,Разработка классификаторов элементов,BIM-менеджер,2,SC.0,SK.17,R.0
Организация совместной работы,Организация корпоративнной системы документооборота проектными данными (СОД),BIM-менеджер,3,SC.1,SK.18,R.0
Организация совместной работы,Развёртывание СОД под проект,BIM-менеджер,2,SC.1,SK.19,R.0
Организация совместной работы,Развёртывание СОД под проект,BIM-координатор,2,SC.1,SK.19,R.1
Разработка проектной модели,Развёртывание СОД под проект,BIM-менеджер,2,SC.5,SK.19,R.0
Разработка проектной модели,Развёртывание СОД под проект,BIM-координатор,2,SC.5,SK.19,R.1
Разработка строительной модели,Развёртывание СОД под проект,BIM-менеджер,2,SC.6,SK.19,R.0
Разработка строительной модели,Развёртывание СОД под проект,BIM-координатор,2,SC.6,SK.19,R.1
