id_OTF,NameOTF,id_DTF,NameDTF,combined,OTF_Cluster,DTF_Cluster
0,Разработка и оформление рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений промышленного и гражданского назначения,1,Подготовка к выпуску рабочей документации металлических конструкций зданий и сооружений,Разработка и оформление рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений промышленного и гражданского назначения Подготовка к выпуску рабочей документации металлических конструкций зданий и сооружений,3,3
0,Разработка и оформление рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений промышленного и гражданского назначения,0,Разработка рабочих чертежей и спецификаций в составе комплекта рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений,Разработка и оформление рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений промышленного и гражданского назначения Разработка рабочих чертежей и спецификаций в составе комплекта рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений,3,3
0,Разработка и оформление рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений промышленного и гражданского назначения,2,Создание элементов металлических конструкций и их типовых соединений в качестве компонентов для информационной модели металлических конструкций зданий и сооружений,Разработка и оформление рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений промышленного и гражданского назначения Создание элементов металлических конструкций и их типовых соединений в качестве компонентов для информационной модели металлических конструкций зданий и сооружений,3,3
1,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения,3,Выполнение расчетов металлических конструкций зданий и сооружений,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения Выполнение расчетов металлических конструкций зданий и сооружений,3,3
1,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения,5,Подготовка к выпуску проектной документации металлических конструкций зданий и сооружений,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения Подготовка к выпуску проектной документации металлических конструкций зданий и сооружений,3,3
1,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения,4,Разработка текстовой и графической частей проектной документации металлических конструкций зданий и сооружений,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения Разработка текстовой и графической частей проектной документации металлических конструкций зданий и сооружений,3,3
1,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения,6,Создание проектной информационной модели каркаса здания или сооружения с применением металлических конструкций из компонентов,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения Создание проектной информационной модели каркаса здания или сооружения с применением металлических конструкций из компонентов,3,3
2,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения,9,Организация и контроль создания проектной информационной модели каркаса здания или сооружения из металлических конструкций,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения Организация и контроль создания проектной информационной модели каркаса здания или сооружения из металлических конструкций,3,3
2,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения,10,Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации металлических конструкций зданий и сооружений,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения Осуществление авторского надзора за соблюдением утвержденных проектных решений проектной документации металлических конструкций зданий и сооружений,3,2
2,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения,7,Разработка концепции конструктивной схемы и основных технических решений здания или сооружения с применением металлических конструкций,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения Разработка концепции конструктивной схемы и основных технических решений здания или сооружения с применением металлических конструкций,3,10
